BRA__SP.POP.TOTL,215000000
CAN__SP.POP.TOTL,38900000
CHN__SP.POP.TOTL,1412000000
DEU__SP.POP.TOTL,83800000
DNK__SP.POP.TOTL,5900000
EST__SP.POP.TOTL,1330000
FIN__SP.POP.TOTL,5540000
FRA__SP.POP.TOTL,67800000
GBR__SP.POP.TOTL,67800000
IND__SP.POP.TOTL,1417000000
ISL__SP.POP.TOTL,380000
JPN__SP.POP.TOTL,125100000
KEN__SP.POP.TOTL,54000000
KOR__SP.POP.TOTL,51600000
NGA__SP.POP.TOTL,218000000
NLD__SP.POP.TOTL,17700000
NOR__SP.POP.TOTL,5500000
POL__SP.POP.TOTL,37700000
SWE__SP.POP.TOTL,10500000
USA__SP.POP.TOTL,333000000
BRA__NY.GDP.MKTP.CD,1.92e12
CAN__NY.GDP.MKTP.CD,2.16e12
CHN__NY.GDP.MKTP.CD,1.796e13
DEU__NY.GDP.MKTP.CD,4.07e12
DNK__NY.GDP.MKTP.CD,4.0e11
EST__NY.GDP.MKTP.CD,3.8e10
FIN__NY.GDP.MKTP.CD,2.8e11
FRA__NY.GDP.MKTP.CD,2.78e12
GBR__NY.GDP.MKTP.CD,3.07e12
IND__NY.GDP.MKTP.CD,3.4e12
ISL__NY.GDP.MKTP.CD,2.8e10
JPN__NY.GDP.MKTP.CD,4.26e12
KEN__NY.GDP.MKTP.CD,1.13e11
KOR__NY.GDP.MKTP.CD,1.67e12
NGA__NY.GDP.MKTP.CD,4.77e11
NLD__NY.GDP.MKTP.CD,1.01e12
NOR__NY.GDP.MKTP.CD,5.79e11
POL__NY.GDP.MKTP.CD,6.9e11
SWE__NY.GDP.MKTP.CD,5.9e11
USA__NY.GDP.MKTP.CD,2.54e13
BRA__NY.GDP.PCAP.CD,8900
CAN__NY.GDP.PCAP.CD,55000
CHN__NY.GDP.PCAP.CD,12700
DEU__NY.GDP.PCAP.CD,48600
DNK__NY.GDP.PCAP.CD,68000
EST__NY.GDP.PCAP.CD,28000
FIN__NY.GDP.PCAP.CD,51000
FRA__NY.GDP.PCAP.CD,42000
GBR__NY.GDP.PCAP.CD,45500
IND__NY.GDP.PCAP.CD,2400
ISL__NY.GDP.PCAP.CD,74000
